Temperature (°C),d19 (cm),t19 (us)
23,21,1279
23,21,1277
23,21,1277
23,21,1275
23,21,1275
23,21,1276
23,21,1274
23,21,1277
23,21,1278
23,21,1274
23,21,1274
23,21,1277
23,21,1237
23,21,1274
23,21,1274
23,21,1279
23,21,1274
23,21,1276
23,21,1274
23,21,1275
23,21,1277
23,21,1274
23,21,1279
23,21,1277
23,21,1277
23,21,1281
23,21,1279
23,21,1278
23,21,1278
23,21,1274
23,21,1275
23,21,1277
23,21,1276
23,21,1278
23,21,1278
23,21,1279
23,21,1278
23,21,1276
23,21,1279
23,21,1278
23,21,1275
23,21,1278
23,21,1279
23,21,1277
23,21,1276
23,21,1275
23,21,1275
23,21,1278
23,21,1275
23,21,1277
23,21,1276
23,21,1278
23,21,1278
23,21,1276
23,21,1277
23,21,1276
23,21,1275
23,21,1277
23,21,1278
23,21,1275
23,21,1275
23,21,1279
23,21,1274
23,21,1276
23,21,1277
23,21,1275
23,21,1277
23,21,1278
23,21,1276
23,21,1278
23,21,1277
23,21,1275
23,21,1278
23,21,1278
23,21,1274
23,21,1277
23,21,1277
23,21,1275
23,21,1274
23,21,1276
23,21,1274
23,21,1276
23,21,1276
23,21,1280
23,21,1278
23,21,1278
23,21,1276
23,21,1275
23,21,1277
23,21,1276
23,21,1276
23,21,1275
23,21,1277
23,21,1276
23,21,1278
23,21,1275
23,21,1279
23,21,1276
23,21,1278
23,21,1278
23,21,1278
23,21,1274
23,21,1280
23,21,1275
23,21,1275
23,21,1221
23,21,1274
23,21,1279
23,21,1281
23,21,1279
23,21,1273
23,21,1276
23,21,1276
23,21,1278
23,21,1276
23,21,1280
23,21,1277
23,21,1276
23,21,1277
23,21,1276
23,21,1278
23,21,1278
23,21,1276
23,21,1275
23,21,1277
23,21,1278
23,21,1279
23,21,1275
23,21,1277
23,21,1276
23,21,1275
23,21,1274
23,21,1275
23,21,1279
23,21,1277
23,21,1278
23,21,1278
23,21,1277
23,21,1277
23,21,1278
23,21,1277
23,21,1276
23,21,1274
23,21,1281
23,21,1278
23,21,1277
23,21,1279
23,21,1276
23,21,1274
23,21,1280
23,21,1275
23,21,1277
23,21,1275
23,21,1276
23,21,1275
23,21,1274
23,21,1278
23,21,1278
23,21,1278
23,21,1277
23,21,1276
23,21,1275
23,21,1278
23,21,1277
23,21,1275
23,21,1280
23,21,1278
23,21,1275
23,21,1276
23,21,1278
23,21,1276
23,21,1276
23,21,1277
23,21,1275
23,21,1278
23,21,1274
23,21,1276
23,21,1275
23,21,1279
23,21,1275
23,21,1278
23,21,1279
23,21,1275
23,21,1274
23,21,1279
23,21,1277
23,21,1274
23,21,1275
23,21,1277
23,21,1275
23,21,1277
23,21,1275
23,21,1278
23,21,1278
23,21,1279
23,21,1275
23,21,1276
23,21,1277
23,21,1279
23,21,1275
23,21,1277
23,21,1277
23,21,1277
23,21,1277
23,21,1278
23,21,1275
23,21,1276
23,21,1278
23,21,1277
23,21,1278
23,21,1276
23,21,1277
23,21,1277
23,21,1277
23,21,1277
23,21,1277
23,21,1278
23,21,1277
23,21,1277
23,21,1275
23,21,1277
23,21,1276
23,21,1277
23,21,1278
23,21,1280
23,21,1276
23,21,1278
23,21,1274
23,21,1277
23,21,1276
23,21,1275
23,21,1277
23,21,1275
23,21,1276
23,21,1278
23,21,1276
23,21,1278
23,21,1276
23,21,1275
23,21,1276
23,21,1276
23,21,1274
23,21,1275
23,21,1277
23,21,1278
23,21,1277
23,21,1274
23,21,1277
23,21,1276
23,21,1275
23,21,1274
23,21,1277
23,21,1277
23,21,1278
23,21,1278
23,21,1275
23,21,1278
23,21,1276
23,21,1275
23,21,1278
23,21,1277
23,21,1278
23,21,1278
23,21,1276
23,21,1275
23,21,1275
23,21,1278
23,21,1275
23,21,1279
23,21,1278
23,21,1278
23,21,1278
23,21,1276
23,21,1277
23,21,1274
23,21,1278
23,21,1280
23,21,1276
23,21,1277
23,21,1277
23,21,1275
23,21,1275
23,21,1274
23,21,1278
23,21,1278
23,21,1277
23,21,1276
23,21,1275
23,21,1276
23,21,1275
23,21,1277
23,21,1278
23,21,1275
23,21,1277
23,21,1278
23,21,1277
23,21,1278
23,21,1278
23,21,1274
23,21,1277
23,21,1277
23,21,1280
23,21,1275
23,21,1277
23,21,1277
23,21,1274
23,21,1277
23,21,1278
23,21,1277
23,21,1275
23,21,1276
23,21,1275
23,21,1275
23,21,1279
23,21,1277
23,21,1277
23,21,1278
23,21,1274
23,21,1274
23,21,1277
23,21,1279
23,21,1278
23,21,1278
23,21,1276
23,21,1275
23,21,1276
23,21,1276
23,21,1279
23,21,1277
23,21,1278
23,21,1277
23,21,1278
23,21,1277
23,21,1273
23,21,1276
23,21,1276
23,21,1274
23,21,1275
23,21,1276
23,21,1274
23,21,1277
23,21,1277
23,21,1279
23,21,1275
23,21,1278
23,21,1277
23,21,1276
23,21,1277
23,21,1279
23,21,1276
23,21,1276
23,21,1275
23,21,1277
23,21,1278
23,21,1276
23,21,1275
23,21,1274
23,21,1278
23,21,1278
23,21,1275
23,21,1279
23,21,1277
23,21,1276
23,21,1276
23,21,1274
23,21,1274
23,21,1275
23,21,1276
23,21,1275
23,21,1280
23,21,1276
23,21,1274
23,21,1275
23,21,1275
23,21,1274
23,21,1275
23,21,1276
23,21,1277
23,21,1274
23,21,1274
23,21,1278
23,21,1276
23,21,1280
23,21,1276
23,21,1279
23,21,1276
23,21,1277
23,21,1276
23,21,1281
23,21,1276
23,21,1278
23,21,1280
23,21,1274
23,21,1274
23,21,1279
23,21,1278
23,21,1277
23,21,1274
23,21,1274
23,21,1277
23,21,1277
23,21,1280
23,21,1278
23,21,1274
23,21,1277
23,21,1277
23,21,1278
23,21,1276
23,21,1276
23,21,1274
23,21,1278
23,21,1280
23,21,1278
23,21,1274
23,21,1279
23,21,1277
23,21,1275
23,21,1279
23,21,1278
23,21,1278
23,21,1281
23,21,1277
23,21,1276
23,21,1276
23,21,1278
23,21,1279
23,21,1277
23,21,1278
23,21,1275
23,21,1280
23,21,1277
23,21,1277
23,21,1276
23,21,1275
23,21,1276
23,21,1278
23,21,1276
23,21,1274
23,21,1274
23,21,1278
23,21,1279
23,21,1275
23,21,1277
23,21,1279
23,21,1276
23,21,1274
23,21,1274
23,21,1274
23,21,1278
23,21,1278
23,21,1275
23,21,1278
23,21,1278
23,21,1278
23,21,1277
23,21,1276
23,21,1276
23,21,1277
23,21,1278
23,21,1274
23,21,1276
23,21,1274
23,21,1276
23,21,1278
23,21,1279
23,21,1276
23,21,1275
23,21,1277
23,21,1276
23,21,1276
23,21,1277
23,21,1276
23,21,1275
23,21,1278
23,21,1278
23,21,1274
23,21,1275
23,21,1278
23,21,1277
23,21,1278
23,21,1277
23,21,1280
23,21,1276
23,21,1276
23,21,1278
23,21,1277
23,21,1278
23,21,1275
23,21,1277
23,21,1279
23,21,1276
23,21,1278
23,21,1276
23,21,1277
23,21,1278
23,21,1275
23,21,1278
23,21,1276
23,21,1278
23,21,1275
23,21,1277
23,21,1275
23,21,1275
23,21,1278
23,21,1276
23,21,1274
23,21,1275
23,21,1277
23,21,1277
23,21,1275
23,21,1276
23,21,1277
23,21,1275
23,21,1276
23,21,1276
23,21,1275
