T3 (°C),d03 (cm),t03 (us)
23,5,790
23,5,765
23,5,814
23,5,782
23,5,780
23,5,786
23,5,780
23,5,779
23,5,786
23,5,789
23,5,776
23,5,778
23,5,786
23,5,781
23,5,782
23,5,782
23,5,784
23,5,781
23,5,782
23,5,781
23,5,783
23,5,780
23,5,782
23,5,785
23,5,777
23,5,786
23,5,782
23,5,782
23,5,780
23,5,782
23,5,783
23,5,777
23,5,783
23,5,782
23,5,785
23,5,782
23,5,786
23,5,780
23,5,781
23,5,782
23,5,784
23,5,787
23,5,780
23,5,783
23,5,778
23,5,785
23,5,780
23,5,784
23,5,780
23,5,781
23,5,789
23,5,779
23,5,782
23,5,782
23,5,781
23,5,784
23,5,781
23,5,781
23,5,778
23,5,788
23,5,784
23,5,781
23,5,782
23,5,784
23,5,781
23,5,786
23,5,783
23,5,779
23,5,781
23,5,780
23,5,784
23,5,782
23,5,781
23,5,783
23,5,782
23,5,780
23,5,779
23,5,815
23,5,787
23,5,784
23,5,781
23,5,814
23,5,710
23,5,813
23,5,774
23,5,775
23,5,775
23,5,816
23,5,771
23,5,812
23,5,811
23,5,784
23,5,783
23,5,781
23,5,775
23,5,781
23,5,778
23,5,778
23,5,779
23,5,780
23,5,783
23,5,781
23,5,782
23,5,786
23,5,786
23,5,783
23,5,781
23,5,782
23,5,786
23,5,780
23,5,780
23,5,783
23,5,780
23,5,784
23,5,782
23,5,783
23,5,784
23,5,781
23,5,780
23,5,785
23,5,782
23,5,785
23,5,784
23,5,784
23,5,783
23,5,781
23,5,783
23,5,785
23,5,779
23,5,783
23,5,781
23,5,781
23,5,779
23,5,785
23,5,782
23,5,781
23,5,781
23,5,778
23,5,786
23,5,781
23,5,781
23,5,784
23,5,784
23,5,780
23,5,782
23,5,786
23,5,782
23,5,779
23,5,781
23,5,777
23,5,784
23,5,783
23,5,781
23,5,777
23,5,788
23,5,783
23,5,780
23,5,781
23,5,785
23,5,778
23,5,785
23,5,784
23,5,781
23,5,785
23,5,787
23,5,782
23,5,778
23,5,783
23,5,777
23,5,783
23,5,776
23,5,781
23,5,782
23,5,788
23,5,788
23,5,784
23,5,781
23,5,780
23,5,785
23,5,784
23,5,785
23,5,785
23,5,781
23,5,783
23,5,779
23,5,785
23,5,783
23,5,783
23,5,784
23,5,779
23,5,787
23,5,782
23,5,789
23,5,783
23,5,783
23,5,776
23,5,785
23,5,784
23,5,781
23,5,781
23,5,784
23,5,783
23,5,783
23,5,782
23,5,786
23,5,778
23,5,783
23,5,783
23,5,782
23,5,781
23,5,815
23,5,774
23,5,789
23,5,786
23,5,774
23,5,778
23,5,788
23,5,811
23,5,779
23,5,781
23,5,781
23,5,785
23,5,779
23,5,780
23,5,786
23,5,781
23,5,779
23,5,776
23,5,785
23,5,784
23,5,783
23,5,781
23,5,778
23,5,783
23,5,781
23,5,789
23,5,782
23,5,785
23,5,782
23,5,785
23,5,777
23,5,784
23,5,785
23,5,784
23,5,781
23,5,788
23,5,780
23,5,782
23,5,779
23,5,783
23,5,780
23,5,781
23,5,782
23,5,782
23,5,779
23,5,783
23,5,779
23,5,783
23,5,785
23,5,780
23,5,786
23,5,777
23,5,786
23,5,777
23,5,784
23,5,783
23,5,778
23,5,782
23,5,781
23,5,781
23,5,781
23,5,782
23,5,781
23,5,786
23,5,783
23,5,780
23,5,780
23,5,779
23,5,785
23,5,779
23,5,786
23,5,779
23,5,785
23,5,779
23,5,782
23,5,781
23,5,781
23,5,782
23,5,783
23,5,784
23,5,782
23,5,779
23,5,782
23,5,776
23,5,783
23,5,781
23,5,783
23,5,780
23,5,784
23,5,779
23,5,779
23,5,782
23,5,705
23,5,817
23,5,779
23,5,772
23,5,813
23,5,813
23,5,768
23,5,778
23,5,785
23,5,813
23,5,776
23,5,772
23,5,787
23,5,778
23,5,780
23,5,778
23,5,815
